Canton,Nationalité,"Classes dâge 15-24, 25-49, 50 ans et plus",,2017
 , , ,,Chômeurs inscrits
Zurich,Etrangers,1,15-24 ans,1194
Zurich,Etrangers,2,25-49 ans,11108
Zurich,Etrangers,3,50 ans et plus,2758
Zurich,Etrangers,Total,,15060
Zurich,Suisses,1,15-24 ans,2606
Zurich,Suisses,2,25-49 ans,9721
Zurich,Suisses,3,50 ans et plus,5000
Zurich,Suisses,Total,,17327
Zurich,Total,,,32387
Berne,Etrangers,1,15-24 ans,624
Berne,Etrangers,2,25-49 ans,4674
Berne,Etrangers,3,50 ans et plus,1372
Berne,Etrangers,Total,,6670
Berne,Suisses,1,15-24 ans,1700
Berne,Suisses,2,25-49 ans,5380
Berne,Suisses,3,50 ans et plus,3204
Berne,Suisses,Total,,10284
Berne,Total,,,16954
Lucerne,Etrangers,1,15-24 ans,273
Lucerne,Etrangers,2,25-49 ans,1481
Lucerne,Etrangers,3,50 ans et plus,467
Lucerne,Etrangers,Total,,2221
Lucerne,Suisses,1,15-24 ans,539
Lucerne,Suisses,2,25-49 ans,1410
Lucerne,Suisses,3,50 ans et plus,815
Lucerne,Suisses,Total,,2764
Lucerne,Total,,,4985
Uri,Etrangers,1,15-24 ans,11
Uri,Etrangers,2,25-49 ans,122
Uri,Etrangers,3,50 ans et plus,42
Uri,Etrangers,Total,,175
Uri,Suisses,1,15-24 ans,30
Uri,Suisses,2,25-49 ans,52
Uri,Suisses,3,50 ans et plus,40
Uri,Suisses,Total,,122
Uri,Total,,,297
Schwyz,Etrangers,1,15-24 ans,76
Schwyz,Etrangers,2,25-49 ans,524
Schwyz,Etrangers,3,50 ans et plus,235
Schwyz,Etrangers,Total,,835
Schwyz,Suisses,1,15-24 ans,120
Schwyz,Suisses,2,25-49 ans,458
Schwyz,Suisses,3,50 ans et plus,381
Schwyz,Suisses,Total,,959
Schwyz,Total,,,1794
Obwald,Etrangers,1,15-24 ans,13
Obwald,Etrangers,2,25-49 ans,58
Obwald,Etrangers,3,50 ans et plus,32
Obwald,Etrangers,Total,,103
Obwald,Suisses,1,15-24 ans,20
Obwald,Suisses,2,25-49 ans,46
Obwald,Suisses,3,50 ans et plus,48
Obwald,Suisses,Total,,114
Obwald,Total,,,217
Nidwald,Etrangers,1,15-24 ans,12
Nidwald,Etrangers,2,25-49 ans,87
Nidwald,Etrangers,3,50 ans et plus,34
Nidwald,Etrangers,Total,,133
Nidwald,Suisses,1,15-24 ans,24
Nidwald,Suisses,2,25-49 ans,77
Nidwald,Suisses,3,50 ans et plus,71
Nidwald,Suisses,Total,,172
Nidwald,Total,,,305
Glaris,Etrangers,1,15-24 ans,37
Glaris,Etrangers,2,25-49 ans,172
Glaris,Etrangers,3,50 ans et plus,74
Glaris,Etrangers,Total,,283
Glaris,Suisses,1,15-24 ans,48
Glaris,Suisses,2,25-49 ans,130
Glaris,Suisses,3,50 ans et plus,106
Glaris,Suisses,Total,,284
Glaris,Total,,,567
Zoug,Etrangers,1,15-24 ans,55
Zoug,Etrangers,2,25-49 ans,558
Zoug,Etrangers,3,50 ans et plus,214
Zoug,Etrangers,Total,,827
Zoug,Suisses,1,15-24 ans,117
Zoug,Suisses,2,25-49 ans,502
Zoug,Suisses,3,50 ans et plus,310
Zoug,Suisses,Total,,929
Zoug,Total,,,1756
Fribourg,Etrangers,1,15-24 ans,253
Fribourg,Etrangers,2,25-49 ans,1915
Fribourg,Etrangers,3,50 ans et plus,552
Fribourg,Etrangers,Total,,2720
Fribourg,Suisses,1,15-24 ans,403
Fribourg,Suisses,2,25-49 ans,1340
Fribourg,Suisses,3,50 ans et plus,752
Fribourg,Suisses,Total,,2495
Fribourg,Total,,,5215
Soleure,Etrangers,1,15-24 ans,265
Soleure,Etrangers,2,25-49 ans,1426
Soleure,Etrangers,3,50 ans et plus,463
Soleure,Etrangers,Total,,2154
Soleure,Suisses,1,15-24 ans,411
Soleure,Suisses,2,25-49 ans,1307
Soleure,Suisses,3,50 ans et plus,872
Soleure,Suisses,Total,,2590
Soleure,Total,,,4744
Bâle-Ville,Etrangers,1,15-24 ans,170
Bâle-Ville,Etrangers,2,25-49 ans,1681
Bâle-Ville,Etrangers,3,50 ans et plus,481
Bâle-Ville,Etrangers,Total,,2332
Bâle-Ville,Suisses,1,15-24 ans,249
Bâle-Ville,Suisses,2,25-49 ans,1101
Bâle-Ville,Suisses,3,50 ans et plus,499
Bâle-Ville,Suisses,Total,,1849
Bâle-Ville,Total,,,4181
Bâle-Campagne,Etrangers,1,15-24 ans,177
Bâle-Campagne,Etrangers,2,25-49 ans,1372
Bâle-Campagne,Etrangers,3,50 ans et plus,404
Bâle-Campagne,Etrangers,Total,,1953
Bâle-Campagne,Suisses,1,15-24 ans,387
Bâle-Campagne,Suisses,2,25-49 ans,1416
Bâle-Campagne,Suisses,3,50 ans et plus,903
Bâle-Campagne,Suisses,Total,,2706
Bâle-Campagne,Total,,,4659
Schaffhouse,Etrangers,1,15-24 ans,99
Schaffhouse,Etrangers,2,25-49 ans,529
Schaffhouse,Etrangers,3,50 ans et plus,186
Schaffhouse,Etrangers,Total,,814
Schaffhouse,Suisses,1,15-24 ans,152
Schaffhouse,Suisses,2,25-49 ans,386
Schaffhouse,Suisses,3,50 ans et plus,235
Schaffhouse,Suisses,Total,,773
Schaffhouse,Total,,,1587
Appenzell Rhodes-Extérieures,Etrangers,1,15-24 ans,17
Appenzell Rhodes-Extérieures,Etrangers,2,25-49 ans,147
Appenzell Rhodes-Extérieures,Etrangers,3,50 ans et plus,67
Appenzell Rhodes-Extérieures,Etrangers,Total,,231
Appenzell Rhodes-Extérieures,Suisses,1,15-24 ans,65
Appenzell Rhodes-Extérieures,Suisses,2,25-49 ans,158
Appenzell Rhodes-Extérieures,Suisses,3,50 ans et plus,156
Appenzell Rhodes-Extérieures,Suisses,Total,,379
Appenzell Rhodes-Extérieures,Total,,,610
Appenzell Rhodes-Intérieures,Etrangers,1,15-24 ans,8
Appenzell Rhodes-Intérieures,Etrangers,2,25-49 ans,44
Appenzell Rhodes-Intérieures,Etrangers,3,50 ans et plus,19
Appenzell Rhodes-Intérieures,Etrangers,Total,,71
Appenzell Rhodes-Intérieures,Suisses,1,15-24 ans,10
Appenzell Rhodes-Intérieures,Suisses,2,25-49 ans,29
Appenzell Rhodes-Intérieures,Suisses,3,50 ans et plus,19
Appenzell Rhodes-Intérieures,Suisses,Total,,58
Appenzell Rhodes-Intérieures,Total,,,129
St-Gall,Etrangers,1,15-24 ans,465
St-Gall,Etrangers,2,25-49 ans,2570
St-Gall,Etrangers,3,50 ans et plus,810
St-Gall,Etrangers,Total,,3845
St-Gall,Suisses,1,15-24 ans,700
St-Gall,Suisses,2,25-49 ans,1855
St-Gall,Suisses,3,50 ans et plus,1197
St-Gall,Suisses,Total,,3752
St-Gall,Total,,,7597
Grisons,Etrangers,1,15-24 ans,63
Grisons,Etrangers,2,25-49 ans,887
Grisons,Etrangers,3,50 ans et plus,292
Grisons,Etrangers,Total,,1242
Grisons,Suisses,1,15-24 ans,148
Grisons,Suisses,2,25-49 ans,400
Grisons,Suisses,3,50 ans et plus,327
Grisons,Suisses,Total,,875
Grisons,Total,,,2117
Argovie,Etrangers,1,15-24 ans,641
Argovie,Etrangers,2,25-49 ans,4359
Argovie,Etrangers,3,50 ans et plus,1311
Argovie,Etrangers,Total,,6311
Argovie,Suisses,1,15-24 ans,975
Argovie,Suisses,2,25-49 ans,3258
Argovie,Suisses,3,50 ans et plus,2078
Argovie,Suisses,Total,,6311
Argovie,Total,,,12622
Thurgovie,Etrangers,1,15-24 ans,208
Thurgovie,Etrangers,2,25-49 ans,1343
Thurgovie,Etrangers,3,50 ans et plus,499
Thurgovie,Etrangers,Total,,2050
Thurgovie,Suisses,1,15-24 ans,366
Thurgovie,Suisses,2,25-49 ans,965
Thurgovie,Suisses,3,50 ans et plus,586
Thurgovie,Suisses,Total,,1917
Thurgovie,Total,,,3967
Tessin,Etrangers,1,15-24 ans,241
Tessin,Etrangers,2,25-49 ans,2144
Tessin,Etrangers,3,50 ans et plus,920
Tessin,Etrangers,Total,,3305
Tessin,Suisses,1,15-24 ans,615
Tessin,Suisses,2,25-49 ans,1784
Tessin,Suisses,3,50 ans et plus,1053
Tessin,Suisses,Total,,3452
Tessin,Total,,,6757
Vaud,Etrangers,1,15-24 ans,765
Vaud,Etrangers,2,25-49 ans,7898
Vaud,Etrangers,3,50 ans et plus,2260
Vaud,Etrangers,Total,,10923
Vaud,Suisses,1,15-24 ans,1260
Vaud,Suisses,2,25-49 ans,5929
Vaud,Suisses,3,50 ans et plus,2560
Vaud,Suisses,Total,,9749
Vaud,Total,,,20672
Valais,Etrangers,1,15-24 ans,408
Valais,Etrangers,2,25-49 ans,3584
Valais,Etrangers,3,50 ans et plus,1351
Valais,Etrangers,Total,,5343
Valais,Suisses,1,15-24 ans,634
Valais,Suisses,2,25-49 ans,2020
Valais,Suisses,3,50 ans et plus,1062
Valais,Suisses,Total,,3716
Valais,Total,,,9059
Neuchâtel,Etrangers,1,15-24 ans,277
Neuchâtel,Etrangers,2,25-49 ans,1995
Neuchâtel,Etrangers,3,50 ans et plus,568
Neuchâtel,Etrangers,Total,,2840
Neuchâtel,Suisses,1,15-24 ans,530
Neuchâtel,Suisses,2,25-49 ans,1851
Neuchâtel,Suisses,3,50 ans et plus,831
Neuchâtel,Suisses,Total,,3212
Neuchâtel,Total,,,6052
Genève,Etrangers,1,15-24 ans,358
Genève,Etrangers,2,25-49 ans,5142
Genève,Etrangers,3,50 ans et plus,1265
Genève,Etrangers,Total,,6765
Genève,Suisses,1,15-24 ans,635
Genève,Suisses,2,25-49 ans,4286
Genève,Suisses,3,50 ans et plus,1620
Genève,Suisses,Total,,6541
Genève,Total,,,13306
Jura,Etrangers,1,15-24 ans,68
Jura,Etrangers,2,25-49 ans,458
Jura,Etrangers,3,50 ans et plus,140
Jura,Etrangers,Total,,666
Jura,Suisses,1,15-24 ans,260
Jura,Suisses,2,25-49 ans,612
Jura,Suisses,3,50 ans et plus,392
Jura,Suisses,Total,,1264
Jura,Total,,,1930
Total,,,,164466
