Canton,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ZH,23'203,32'289,28'916,30'601,40'013,42'916,35'519,24'021,18'297,24'746,37'687,46'057,41'770,38'561,31'576,26'207,28'099,38'469,33'327,29'560,32'215,33'972,34'271,37'642,39'340
BE,17'176,23'687,20'812,21'255,28'490,26'777,21'319,16'327,11'082,12'798,20'192,24'561,23'588,22'675,19'212,15'993,17'296,23'400,20'243,16'879,17'917,19'295,19'409,21'053,21'586
LU,5'233,7'150,6'302,6'845,9'070,9'007,7'059,4'739,3'810,4'748,7'461,9'162,8'858,8'863,7'726,6'440,7'195,9'441,7'663,6'971,7'219,7'197,6'993,7'897,7'950
UR,275,381,329,438,682,610,438,285,185,228,434,459,497,421,431,306,364,533,433,521,512,442,460,440,464
SZ,1'262,1'791,1'425,1'770,2'646,2'775,2'254,1'608,959,1'318,2'420,2'756,2'865,2'800,2'267,1'804,2'098,2'906,2'418,2'002,2'129,2'366,2'207,2'425,2'581
OW,243,326,287,316,468,393,291,199,233,314,455,648,587,555,395,471,412,552,373,379,382,417,378,409,378
NW,564,588,439,437,621,523,414,271,313,401,655,865,807,761,536,580,525,698,521,399,463,471,509,525,535
GL,398,512,376,647,873,872,677,535,300,548,922,1'052,1'108,1'170,953,689,760,1'142,966,827,961,939,821,898,876
ZG,1'719,2'069,1'546,1'660,2'257,2'120,1'896,1'269,1'021,1'678,2'610,2'912,2'843,2'739,2'283,1'789,2'127,2'794,2'331,2'117,2'337,2'568,2'536,2'721,2'831
FR,4'554,7'018,6'891,7'215,8'943,8'786,7'243,5'789,4'140,4'723,5'989,6'613,6'800,6'919,6'514,5'850,6'807,8'117,7'105,6'903,7'859,8'358,8'247,9'102,9'197
SO,4'958,6'162,4'785,5'120,7'460,7'273,6'058,4'735,3'336,4'656,6'660,7'667,7'317,7'075,5'940,5'331,5'762,8'186,6'587,5'708,6'520,6'154,5'726,6'954,7'309
BS,5'267,6'893,6'088,5'601,6'642,6'300,4'693,3'634,3'404,4'108,5'232,6'937,6'476,5'828,5'236,4'445,4'962,6'138,5'739,5'116,5'440,5'190,5'367,5'534,5'954
BL,3'717,5'540,4'889,4'744,5'955,5'887,4'666,3'779,2'979,3'508,4'867,6'379,6'728,6'132,5'166,4'469,4'926,6'635,6'027,5'377,5'559,5'431,5'324,5'942,6'111
SH,1'494,2'246,2'154,2'120,2'585,2'691,2'081,1'619,1'415,1'574,2'082,2'624,2'455,2'426,1'952,1'830,1'700,2'705,2'179,2'005,2'100,2'384,2'411,2'659,2'653
AR,621,826,561,580,785,752,550,418,443,517,806,928,910,885,760,598,716,1'052,951,868,912,874,931,992,978
AI,111,118,65,91,153,160,86,62,46,56,140,194,181,186,146,129,135,169,125,143,194,177,160,149,171
SG,6'505,8'491,7'024,7'510,11'127,11'204,9'050,6'976,5'447,7'043,10'417,12'369,12'255,11'607,9'691,7'657,9'649,13'612,11'112,10'184,11'004,11'305,10'800,12'094,11'939
GR,1'456,2'229,2'098,2'452,3'165,3'897,3'302,2'540,2'214,2'387,2'989,3'754,3'748,3'803,3'096,2'761,3'077,3'511,3'528,3'414,3'749,3'839,3'713,3'997,3'860
AG,7'789,10'525,8'554,9'740,14'072,14'614,12'124,8'668,6'441,8'824,13'107,16'006,15'660,14'954,12'434,10'853,12'026,16'486,14'776,13'589,14'507,14'852,14'791,16'408,17'038
TG,2'609,3'801,3'260,3'729,5'378,5'766,4'428,3'242,2'468,3'377,4'833,6'117,6'044,6'032,5'034,4'056,4'581,6'629,5'421,4'605,5'345,5'785,5'627,6'552,6'374
TI,9'329,12'414,12'981,15'305,18'113,18'484,14'536,11'270,8'472,8'009,9'569,10'688,11'060,11'579,11'290,10'152,10'238,11'842,11'983,11'174,11'866,11'750,11'226,10'677,10'419
VD,19'600,27'136,27'287,29'741,33'926,31'976,24'966,18'482,14'899,15'110,18'959,23'526,25'318,23'958,21'223,18'969,20'558,26'014,24'993,24'041,25'748,26'466,25'844,27'341,28'019
VS,7'459,10'197,10'304,11'788,14'077,14'602,12'201,9'695,7'534,7'804,9'197,10'492,10'941,11'061,10'327,9'737,10'279,11'931,11'415,11'311,12'812,13'351,13'289,13'761,12'989
NE,5'036,6'988,6'653,6'561,7'197,7'558,6'723,4'790,2'903,3'751,5'011,5'914,5'743,5'770,5'207,4'768,5'207,8'214,7'353,6'031,6'431,6'977,6'866,7'319,7'712
GE,12'763,16'586,16'288,18'657,20'706,20'956,18'234,15'825,13'417,14'702,17'788,20'955,22'656,22'809,21'753,18'852,18'793,22'213,20'850,15'452,15'515,16'073,16'061,16'864,16'984
JU,1'631,2'371,1'925,2'043,2'496,2'323,1'944,1'483,1'012,1'515,2'104,2'562,2'409,2'256,2'028,1'678,1'995,2'928,2'497,1'841,2'080,2'144,2'171,2'396,2'613
