1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
654885.714285714,666106.382978723,661333.333333333,657275,664339.622641509,662784.31372549,660027.777777778,709227.272727273,740882.352941177,721423.076923077,722560.975609756,725600,717750,716425,713218.75,717629.62962963,733200,786951.219512195,783794.117647059,801166.666666667,779735.294117647,824411.764705882,810857.142857143,824500,830435.897435897
654885.714285714,666106.382978723,661333.333333333,657275,664339.622641509,662784.31372549,660027.777777778,709227.272727273,740882.352941177,721423.076923077,722560.975609756,725600,717750,716425,713218.75,717629.62962963,733200,786951.219512195,783794.117647059,801166.666666667,779735.294117647,824411.764705882,810857.142857143,824500,830435.897435897
654885.714285714,666106.382978723,661333.333333333,657275,664339.622641509,662784.31372549,660027.777777778,709227.272727273,740882.352941177,721423.076923077,722560.975609756,725600,717750,716425,713218.75,717629.62962963,733200,786951.219512195,783794.117647059,801166.666666667,779735.294117647,824411.764705882,810857.142857143,824500,830435.897435897
488352.941176471,492977.777777778,486153.846153846,489810.810810811,485224.489795918,489775,480280,516722.222222222,534000,532312.5,517714.285714286,518029.411764706,524193.548387097,521700,521520,522700,532304.347826087,550709.677419355,545192.307692308,541409.090909091,539720,561000,561884.615384615,569034.482758621,565133.333333333
488352.941176471,492977.777777778,486153.846153846,489810.810810811,485224.489795918,489775,480280,516722.222222222,534000,532312.5,517714.285714286,518029.411764706,524193.548387097,521700,521520,522700,532304.347826087,550709.677419355,545192.307692308,541409.090909091,539720,561000,561884.615384615,569034.482758621,565133.333333333
488352.941176471,492977.777777778,486153.846153846,489810.810810811,485224.489795918,489775,480280,516722.222222222,534000,532312.5,517714.285714286,518029.411764706,524193.548387097,521700,521520,522700,532304.347826087,550709.677419355,545192.307692308,541409.090909091,539720,561000,561884.615384615,569034.482758621,565133.333333333
172966.666666667,171925,171264.705882353,170702.702702703,171479.166666667,172125,171076.923076923,186375,187076.923076923,187666.666666667,189896.551724138,188114.285714286,188242.424242424,189062.5,185370.37037037,191227.272727273,188730.769230769,215600,214428.571428571,216142.857142857,211500,222761.904761905,218619.047619048,224521.739130435,226590.909090909
172966.666666667,171925,171264.705882353,170702.702702703,171479.166666667,172125,171076.923076923,186375,187076.923076923,187666.666666667,189896.551724138,188114.285714286,188242.424242424,189062.5,185370.37037037,191227.272727273,188730.769230769,215600,214428.571428571,216142.857142857,211500,222761.904761905,218619.047619048,224521.739130435,226590.909090909
172966.666666667,171925,171264.705882353,170702.702702703,171479.166666667,172125,171076.923076923,186375,187076.923076923,187666.666666667,189896.551724138,188114.285714286,188242.424242424,189062.5,185370.37037037,191227.272727273,188730.769230769,215600,214428.571428571,216142.857142857,211500,222761.904761905,218619.047619048,224521.739130435,226590.909090909
16176.4705882353,16272.7272727273,15947.3684210526,16000,16342.8571428571,16416.6666666667,16800,17000,16500,16714.2857142857,17750,17866.6666666667,17125,18076.9230769231,17333.3333333333,17500,17153.8461538462,19000,18000,18823.5294117647,18823.5294117647,19333.3333333333,19466.6666666667,19692.3076923077,19800
