Canton,Nationalité,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ZH,Etrangers,9'061,12'844,12'055,12'362,16'834,17'109,12'460,7'938,6'302,8'573,12'682,14'820,13'134,12'340,9'838,8'596,9'720,13'845,11'596,10'527,12'062,12'675,13'129,14'673,15'060
ZH,Suisses,13'860,18'463,15'721,13'929,18'376,16'693,11'301,7'665,6'293,10'184,16'943,21'460,18'447,16'317,12'985,10'780,12'276,18'420,15'053,13'508,14'449,15'355,15'251,16'658,17'327
ZH,Total,22'921,31'307,27'776,26'291,35'210,33'802,23'761,15'603,12'595,18'757,29'625,36'280,31'581,28'657,22'823,19'376,21'996,32'265,26'649,24'035,26'511,28'030,28'380,31'331,32'387
BE,Etrangers,5'150,6'895,6'268,6'491,8'485,7'436,4'849,3'930,2'829,3'390,5'258,5'970,5'287,5'201,4'382,3'730,4'484,6'095,4'980,4'284,4'925,5'307,5'397,6'522,6'670
BE,Suisses,11'454,15'289,12'692,11'632,15'291,12'155,7'158,5'371,4'113,5'127,9'238,11'643,10'963,10'450,8'656,6'724,7'759,10'977,9'195,7'627,8'568,9'279,9'212,9'980,10'284
BE,Total,16'604,22'184,18'960,18'123,23'776,19'591,12'007,9'301,6'942,8'517,14'496,17'613,16'250,15'651,13'038,10'454,12'243,17'072,14'175,11'911,13'493,14'586,14'609,16'502,16'954
LU,Etrangers,1'803,2'666,2'499,2'938,3'923,3'370,2'260,1'539,1'196,1'477,2'278,2'537,2'391,2'331,2'042,1'782,2'119,2'675,1'923,1'979,2'078,2'025,2'106,2'288,2'221
LU,Suisses,3'386,4'211,3'324,3'378,4'308,3'515,2'188,1'443,1'236,1'901,3'229,4'047,3'821,3'719,2'963,2'425,2'788,3'793,2'580,2'560,2'575,2'653,2'485,2'876,2'764
LU,Total,5'189,6'877,5'823,6'316,8'231,6'885,4'448,2'982,2'432,3'378,5'507,6'584,6'212,6'050,5'005,4'207,4'907,6'468,4'503,4'539,4'653,4'678,4'591,5'164,4'985
UR,Etrangers,77,144,117,151,194,161,105,61,49,52,67,83,95,81,107,65,111,134,117,163,153,157,173,144,175
UR,Suisses,198,214,186,233,378,233,147,92,50,65,146,185,179,154,153,110,112,208,153,157,167,133,119,112,122
UR,Total,275,358,303,384,572,394,252,153,99,117,213,268,274,235,260,175,223,342,270,320,320,290,292,256,297
SZ,Etrangers,528,753,569,742,1'087,943,647,363,197,298,559,629,712,650,537,443,586,862,706,636,648,750,715,830,835
SZ,Suisses,727,922,655,835,1'148,796,600,382,258,442,908,1'096,1'098,1'094,837,633,694,1'049,811,693,727,822,762,881,959
SZ,Total,1'255,1'675,1'224,1'577,2'235,1'739,1'247,745,455,740,1'467,1'725,1'810,1'744,1'374,1'076,1'280,1'911,1'517,1'329,1'375,1'572,1'477,1'711,1'794
OW,Etrangers,65,110,115,119,146,97,46,26,31,76,83,109,104,106,84,88,110,144,79,90,90,96,90,112,103
OW,Suisses,174,203,161,180,262,176,74,41,52,70,167,253,209,229,116,128,152,195,116,99,103,145,106,109,114
OW,Total,239,313,276,299,408,273,120,67,83,146,250,362,313,335,200,216,262,339,195,189,193,241,196,221,217
NW,Etrangers,124,146,96,113,168,122,60,31,27,48,76,128,118,134,88,79,109,135,90,73,83,112,113,120,133
NW,Suisses,440,404,326,306,411,259,123,64,69,122,298,349,320,323,223,182,217,322,192,141,159,158,168,186,172
NW,Total,564,550,422,419,579,381,183,95,96,170,374,477,438,457,311,261,326,457,282,214,242,270,281,306,305
GL,Etrangers,146,220,159,320,457,341,211,152,82,158,272,241,216,216,182,125,186,286,225,236,306,293,264,321,283
GL,Suisses,245,273,207,275,330,295,191,165,86,143,226,364,316,355,275,183,216,387,279,301,313,325,242,265,284
GL,Total,391,493,366,595,787,636,402,317,168,301,498,605,532,571,457,308,402,673,504,537,619,618,506,586,567
ZG,Etrangers,657,835,695,712,926,814,600,390,301,652,898,855,778,739,537,454,601,847,597,568,614,741,733,775,827
ZG,Suisses,1'046,1'169,808,772,1'072,923,726,508,326,661,1'179,1'297,1'200,1'084,885,597,803,1'056,799,684,783,866,811,915,929
ZG,Total,1'703,2'004,1'503,1'484,1'998,1'737,1'326,898,627,1'313,2'077,2'152,1'978,1'823,1'422,1'051,1'404,1'903,1'396,1'252,1'397,1'607,1'544,1'690,1'756
FR,Etrangers,1'183,1'886,1'865,1'972,2'289,2'109,1'568,1'174,787,996,1'415,1'627,1'672,1'790,1'682,1'625,2'037,2'277,1'901,2'005,2'428,2'602,2'588,2'808,2'720
FR,Suisses,3'268,4'829,4'427,3'639,3'653,3'147,2'051,1'480,1'061,1'337,2'086,2'567,2'586,2'708,2'470,2'023,2'275,2'723,2'152,2'031,2'250,2'529,2'497,2'804,2'495
FR,Total,4'451,6'715,6'292,5'611,5'942,5'256,3'619,2'654,1'848,2'333,3'501,4'194,4'258,4'498,4'152,3'648,4'312,5'000,4'053,4'036,4'678,5'131,5'085,5'612,5'215
SO,Etrangers,1'921,2'297,1'788,2'150,3'273,3'199,1'805,1'429,1'109,1'429,1'891,2'223,1'999,1'869,1'559,1'486,1'859,2'679,1'864,1'504,1'873,1'751,1'646,2'093,2'154
SO,Suisses,3'007,3'791,2'840,2'711,3'887,3'709,1'961,1'476,887,1'365,2'260,3'104,2'849,2'728,2'152,1'823,2'181,3'432,2'513,2'127,2'571,2'274,2'132,2'539,2'590
SO,Total,4'928,6'088,4'628,4'861,7'160,6'908,3'766,2'905,1'996,2'794,4'151,5'327,4'848,4'597,3'711,3'309,4'040,6'111,4'377,3'631,4'444,4'025,3'778,4'632,4'744
BS,Etrangers,2'195,3'060,2'774,2'525,2'916,2'663,1'715,1'185,1'121,1'260,1'821,2'300,2'056,1'840,1'706,1'467,1'708,2'223,2'060,1'824,1'964,1'989,2'093,2'187,2'332
BS,Suisses,2'856,3'481,2'877,2'274,2'582,2'263,1'501,1'129,1'068,1'402,1'838,2'554,2'345,2'157,1'933,1'607,1'694,2'193,1'966,1'775,1'889,1'725,1'760,1'760,1'849
BS,Total,5'051,6'541,5'651,4'799,5'498,4'926,3'216,2'314,2'189,2'662,3'659,4'854,4'401,3'997,3'639,3'074,3'402,4'416,4'026,3'599,3'853,3'714,3'853,3'947,4'181
BL,Etrangers,1'512,2'180,1'898,1'899,2'345,2'226,1'205,898,744,1'008,1'391,1'752,1'745,1'518,1'295,1'233,1'448,2'068,1'767,1'628,1'648,1'656,1'692,1'943,1'953
BL,Suisses,2'093,3'012,2'563,2'423,2'869,2'514,1'594,1'365,1'106,1'452,2'191,3'103,3'275,2'823,2'365,2'037,2'305,3'375,2'935,2'557,2'591,2'558,2'418,2'670,2'706
BL,Total,3'605,5'192,4'461,4'322,5'214,4'740,2'799,2'263,1'850,2'460,3'582,4'855,5'020,4'341,3'660,3'270,3'753,5'443,4'702,4'185,4'239,4'214,4'110,4'613,4'659
SH,Etrangers,589,821,792,845,1'148,1'145,782,533,419,453,627,712,659,660,474,466,467,774,536,462,554,683,767,796,814
SH,Suisses,781,1'015,768,816,971,946,550,376,331,427,587,779,809,738,589,522,521,892,605,581,679,680,677,744,773
SH,Total,1'370,1'836,1'560,1'661,2'119,2'091,1'332,909,750,880,1'214,1'491,1'468,1'398,1'063,988,988,1'666,1'141,1'043,1'233,1'363,1'444,1'540,1'587
AR,Etrangers,254,328,212,267,328,277,136,126,90,115,226,218,209,203,184,137,213,238,208,171,223,217,236,266,231
AR,Suisses,367,470,332,288,360,356,184,152,202,238,383,448,438,462,353,285,335,433,345,279,321,345,366,363,379
AR,Total,621,798,544,555,688,633,320,278,292,353,609,666,647,665,537,422,548,671,553,450,544,562,602,629,610
AI,Etrangers,49,49,25,39,67,53,16,17,10,19,42,44,37,46,33,36,33,42,32,48,59,57,46,61,71
AI,Suisses,62,68,37,51,72,59,25,23,13,22,66,107,87,81,64,47,60,76,54,58,86,69,71,55,58
AI,Total,111,117,62,90,139,112,41,40,23,41,108,151,124,127,97,83,93,118,86,106,145,126,117,116,129
SG,Etrangers,2'687,3'485,2'776,3'223,4'999,4'256,3'051,2'375,1'706,2'307,3'366,3'802,3'530,3'259,2'655,2'099,3'166,4'781,3'412,3'088,3'777,3'635,3'354,3'809,3'845
SG,Suisses,3'559,4'637,3'764,3'484,4'816,3'643,2'547,2'018,1'570,2'201,3'496,4'337,4'180,3'919,3'162,2'447,3'191,4'908,3'724,3'376,3'680,3'552,3'302,3'819,3'752
SG,Total,6'246,8'122,6'540,6'707,9'815,7'899,5'598,4'393,3'276,4'508,6'862,8'139,7'710,7'178,5'817,4'546,6'357,9'689,7'136,6'464,7'457,7'187,6'656,7'628,7'597
GR,Etrangers,460,629,657,812,1'017,1'203,850,542,490,506,730,911,909,938,737,653,827,1'003,1'007,1'092,1'321,1'308,1'304,1'331,1'242
GR,Suisses,976,1'377,1'315,1'485,1'861,1'969,1'187,727,707,805,1'042,1'482,1'369,1'300,875,694,860,1'004,938,877,915,919,883,958,875
GR,Total,1'436,2'006,1'972,2'297,2'878,3'172,2'037,1'269,1'197,1'311,1'772,2'393,2'278,2'238,1'612,1'347,1'687,2'007,1'945,1'969,2'236,2'227,2'187,2'289,2'117
AG,Etrangers,3'208,4'368,3'729,4'493,6'645,5'417,3'869,2'615,2'013,2'474,4'136,4'746,4'449,4'123,3'475,3'388,4'039,5'526,4'686,4'726,5'025,5'295,5'313,5'939,6'311
AG,Suisses,4'428,5'843,4'449,4'915,6'905,4'994,3'499,2'488,1'937,2'773,5'546,6'952,6'647,6'280,4'926,4'125,4'701,6'886,5'706,5'273,5'753,5'822,5'821,6'372,6'311
AG,Total,7'636,10'211,8'178,9'408,13'550,10'411,7'368,5'103,3'950,5'247,9'682,11'698,11'096,10'403,8'401,7'513,8'740,12'412,10'392,9'999,10'778,11'117,11'134,12'311,12'622
TG,Etrangers,1'092,1'590,1'437,1'737,2'520,2'439,1'620,1'003,644,1'000,1'432,1'741,1'638,1'634,1'242,1'084,1'444,2'206,1'638,1'379,1'787,2'036,1'933,2'193,2'050
TG,Suisses,1'507,1'942,1'546,1'644,2'325,2'303,1'350,1'018,858,1'319,2'053,2'496,2'449,2'346,1'897,1'481,1'767,2'790,2'038,1'781,1'996,2'066,1'848,2'145,1'917
TG,Total,2'599,3'532,2'983,3'381,4'845,4'742,2'970,2'021,1'502,2'319,3'485,4'237,4'087,3'980,3'139,2'565,3'211,4'996,3'676,3'160,3'783,4'102,3'781,4'338,3'967
TI,Etrangers,4'110,5'325,5'189,6'208,6'891,6'527,4'726,3'668,2'728,2'813,3'425,3'689,3'816,4'136,3'859,3'456,3'741,4'164,4'237,4'021,4'389,4'334,3'856,3'532,3'305
TI,Suisses,4'583,5'597,5'176,5'702,5'993,5'856,4'231,3'297,2'406,2'757,3'537,4'070,4'279,4'586,4'304,3'785,3'774,4'452,4'430,3'866,4'039,3'913,3'802,3'578,3'452
TI,Total,8'693,10'922,10'365,11'910,12'884,12'383,8'957,6'965,5'134,5'570,6'962,7'759,8'095,8'722,8'163,7'241,7'515,8'616,8'667,7'887,8'428,8'247,7'658,7'110,6'757
VD,Etrangers,7'742,10'478,10'428,10'323,12'384,10'346,7'638,5'945,4'538,5'086,6'692,8'483,8'929,8'514,7'472,6'721,7'721,10'078,9'452,9'505,10'501,11'049,10'553,10'973,10'923
VD,Suisses,11'336,15'119,14'013,12'727,13'995,11'412,8'698,6'174,5'024,5'643,7'611,9'693,10'334,9'431,8'329,7'053,7'718,10'328,9'496,8'931,9'360,9'296,9'047,9'467,9'749
VD,Total,19'078,25'597,24'441,23'050,26'379,21'758,16'336,12'119,9'562,10'729,14'303,18'176,19'263,17'945,15'801,13'774,15'439,20'406,18'948,18'436,19'861,20'345,19'600,20'440,20'672
VS,Etrangers,2'591,3'638,3'571,3'633,4'465,3'857,3'083,2'514,1'826,2'147,2'560,2'934,3'376,3'484,3'235,3'168,3'738,4'613,4'151,4'446,5'167,5'441,5'584,5'559,5'343
VS,Suisses,4'755,6'462,6'529,5'815,6'400,5'340,3'830,2'901,2'285,2'562,3'217,3'711,3'868,3'390,3'019,2'665,2'845,3'566,3'190,2'859,3'375,3'562,3'776,4'050,3'716
VS,Total,7'346,10'100,10'100,9'448,10'865,9'197,6'913,5'415,4'111,4'709,5'777,6'645,7'244,6'874,6'254,5'833,6'583,8'179,7'341,7'305,8'542,9'003,9'360,9'609,9'059
NE,Etrangers,1'813,2'246,2'153,2'073,2'240,2'346,1'912,1'311,758,1'364,1'797,1'805,1'714,1'675,1'448,1'378,1'743,2'920,2'391,1'960,2'389,2'590,2'579,2'674,2'840
NE,Suisses,3'085,3'663,3'247,2'845,3'071,3'103,2'288,1'508,1'053,1'446,2'059,2'483,2'318,2'301,1'964,1'741,1'988,3'371,2'887,2'323,2'531,2'563,2'619,2'980,3'212
NE,Total,4'898,5'909,5'400,4'918,5'311,5'449,4'200,2'819,1'811,2'810,3'856,4'288,4'032,3'976,3'412,3'119,3'731,6'291,5'278,4'283,4'920,5'153,5'198,5'654,6'052
GE,Etrangers,5'408,7'074,6'898,6'320,7'457,6'961,5'324,4'763,3'980,4'666,6'173,7'231,8'003,7'801,7'282,6'226,6'619,7'995,7'618,6'198,6'390,6'948,6'680,6'964,6'765
GE,Suisses,7'276,9'326,9'218,7'830,8'550,8'316,6'128,5'324,4'728,5'749,7'158,8'181,8'469,8'404,8'034,6'696,6'986,8'174,7'672,6'001,6'393,6'391,6'278,6'680,6'541
GE,Total,12'684,16'400,16'116,14'150,16'007,15'277,11'452,10'087,8'708,10'415,13'331,15'412,16'472,16'205,15'316,12'922,13'605,16'169,15'290,12'199,12'783,13'339,12'958,13'644,13'306
JU,Etrangers,368,497,422,506,670,579,337,258,177,376,496,556,497,460,408,313,434,666,503,429,494,519,566,652,666
JU,Suisses,1'252,1'823,1'447,1'466,1'728,1'521,876,658,422,758,1'087,1'256,1'104,1'077,985,786,949,1'479,1'179,810,937,994,983,1'113,1'264
JU,Total,1'620,2'320,1'869,1'972,2'398,2'100,1'213,916,599,1'134,1'583,1'812,1'601,1'537,1'393,1'099,1'383,2'145,1'682,1'239,1'431,1'513,1'549,1'765,1'930
