Canton,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ZH,22'921,31'307,27'776,26'291,35'210,33'802,23'761,15'603,12'595,18'757,29'625,36'280,31'581,28'657,22'823,19'376,21'996,32'265,26'649,24'035,26'511,28'030,28'380,31'331,32'387
BE,16'604,22'184,18'960,18'123,23'776,19'591,12'007,9'301,6'942,8'517,14'496,17'613,16'250,15'651,13'038,10'454,12'243,17'072,14'175,11'911,13'493,14'586,14'609,16'502,16'954
LU,5'189,6'877,5'823,6'316,8'231,6'885,4'448,2'982,2'432,3'378,5'507,6'584,6'212,6'050,5'005,4'207,4'907,6'468,4'503,4'539,4'653,4'678,4'591,5'164,4'985
UR,275,358,303,384,572,394,252,153,99,117,213,268,274,235,260,175,223,342,270,320,320,290,292,256,297
SZ,1'255,1'675,1'224,1'577,2'235,1'739,1'247,745,455,740,1'467,1'725,1'810,1'744,1'374,1'076,1'280,1'911,1'517,1'329,1'375,1'572,1'477,1'711,1'794
OW,239,313,276,299,408,273,120,67,83,146,250,362,313,335,200,216,262,339,195,189,193,241,196,221,217
NW,564,550,422,419,579,381,183,95,96,170,374,477,438,457,311,261,326,457,282,214,242,270,281,306,305
GL,391,493,366,595,787,636,402,317,168,301,498,605,532,571,457,308,402,673,504,537,619,618,506,586,567
ZG,1'703,2'004,1'503,1'484,1'998,1'737,1'326,898,627,1'313,2'077,2'152,1'978,1'823,1'422,1'051,1'404,1'903,1'396,1'252,1'397,1'607,1'544,1'690,1'756
FR,4'451,6'715,6'292,5'611,5'942,5'256,3'619,2'654,1'848,2'333,3'501,4'194,4'258,4'498,4'152,3'648,4'312,5'000,4'053,4'036,4'678,5'131,5'085,5'612,5'215
SO,4'928,6'088,4'628,4'861,7'160,6'908,3'766,2'905,1'996,2'794,4'151,5'327,4'848,4'597,3'711,3'309,4'040,6'111,4'377,3'631,4'444,4'025,3'778,4'632,4'744
BS,5'051,6'541,5'651,4'799,5'498,4'926,3'216,2'314,2'189,2'662,3'659,4'854,4'401,3'997,3'639,3'074,3'402,4'416,4'026,3'599,3'853,3'714,3'853,3'947,4'181
BL,3'605,5'192,4'461,4'322,5'214,4'740,2'799,2'263,1'850,2'460,3'582,4'855,5'020,4'341,3'660,3'270,3'753,5'443,4'702,4'185,4'239,4'214,4'110,4'613,4'659
SH,1'370,1'836,1'560,1'661,2'119,2'091,1'332,909,750,880,1'214,1'491,1'468,1'398,1'063,988,988,1'666,1'141,1'043,1'233,1'363,1'444,1'540,1'587
AR,621,798,544,555,688,633,320,278,292,353,609,666,647,665,537,422,548,671,553,450,544,562,602,629,610
AI,111,117,62,90,139,112,41,40,23,41,108,151,124,127,97,83,93,118,86,106,145,126,117,116,129
SG,6'246,8'122,6'540,6'707,9'815,7'899,5'598,4'393,3'276,4'508,6'862,8'139,7'710,7'178,5'817,4'546,6'357,9'689,7'136,6'464,7'457,7'187,6'656,7'628,7'597
GR,1'436,2'006,1'972,2'297,2'878,3'172,2'037,1'269,1'197,1'311,1'772,2'393,2'278,2'238,1'612,1'347,1'687,2'007,1'945,1'969,2'236,2'227,2'187,2'289,2'117
AG,7'636,10'211,8'178,9'408,13'550,10'411,7'368,5'103,3'950,5'247,9'682,11'698,11'096,10'403,8'401,7'513,8'740,12'412,10'392,9'999,10'778,11'117,11'134,12'311,12'622
TG,2'599,3'532,2'983,3'381,4'845,4'742,2'970,2'021,1'502,2'319,3'485,4'237,4'087,3'980,3'139,2'565,3'211,4'996,3'676,3'160,3'783,4'102,3'781,4'338,3'967
TI,8'693,10'922,10'365,11'910,12'884,12'383,8'957,6'965,5'134,5'570,6'962,7'759,8'095,8'722,8'163,7'241,7'515,8'616,8'667,7'887,8'428,8'247,7'658,7'110,6'757
VD,19'078,25'597,24'441,23'050,26'379,21'758,16'336,12'119,9'562,10'729,14'303,18'176,19'263,17'945,15'801,13'774,15'439,20'406,18'948,18'436,19'861,20'345,19'600,20'440,20'672
VS,7'346,10'100,10'100,9'448,10'865,9'197,6'913,5'415,4'111,4'709,5'777,6'645,7'244,6'874,6'254,5'833,6'583,8'179,7'341,7'305,8'542,9'003,9'360,9'609,9'059
NE,4'898,5'909,5'400,4'918,5'311,5'449,4'200,2'819,1'811,2'810,3'856,4'288,4'032,3'976,3'412,3'119,3'731,6'291,5'278,4'283,4'920,5'153,5'198,5'654,6'052
GE,12'684,16'400,16'116,14'150,16'007,15'277,11'452,10'087,8'708,10'415,13'331,15'412,16'472,16'205,15'316,12'922,13'605,16'169,15'290,12'199,12'783,13'339,12'958,13'644,13'306
JU,1'620,2'320,1'869,1'972,2'398,2'100,1'213,916,599,1'134,1'583,1'812,1'601,1'537,1'393,1'099,1'383,2'145,1'682,1'239,1'431,1'513,1'549,1'765,1'930
