Canton,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ZH,3.5,4.7,4.2,4,5.3,5.1,3.6,2.2,1.7,2.6,4.1,5,4.4,4,3.2,2.7,3,4.1,3.4,3,3.4,3.4,3.5,3.8,3.9
BE,3.4,4.5,3.9,3.7,4.9,4,2.5,1.8,1.3,1.6,2.8,3.4,3.1,3,2.5,2,2.3,3.1,2.6,2.2,2.5,2.6,2.6,2.9,3
LU,3,4,3.4,3.7,4.8,4,2.6,1.6,1.3,1.8,2.9,3.5,3.3,3.2,2.7,2.2,2.6,3,2.1,2.1,2.2,2.1,2.1,2.3,2.2
UR,1.7,2.2,1.9,2.4,3.5,2.4,1.5,0.9,0.6,0.7,1.2,1.5,1.6,1.3,1.5,1,1.3,1.8,1.5,1.7,1.7,1.5,1.5,1.3,1.5
SZ,2.1,2.8,2.1,2.7,3.8,3,2.1,1,0.6,1,2.1,2.4,2.5,2.4,1.9,1.5,1.8,2.3,1.8,1.6,1.6,1.8,1.7,2,2
OW,1.7,2.2,1.9,2.1,2.8,1.9,0.8,0.4,0.5,0.8,1.4,2.1,1.8,1.9,1.1,1.2,1.5,1.6,0.9,0.9,0.9,1.1,0.9,1,1
NW,3.3,3.2,2.4,2.4,3.3,2.2,1.1,0.5,0.5,0.8,1.8,2.3,2.1,2.2,1.5,1.2,1.6,2,1.2,0.9,1,1.1,1.2,1.3,1.3
GL,2,2.5,1.8,3,3.9,3.2,2,1.5,0.8,1.5,2.4,2.9,2.6,2.8,2.2,1.5,2,3,2.3,2.4,2.8,2.7,2.2,2.6,2.5
ZG,3.6,4.2,3.2,3.1,4.2,3.6,2.8,1.5,1.1,2.3,3.6,3.7,3.4,3.1,2.5,1.8,2.4,3,2.2,1.9,2.2,2.4,2.3,2.5,2.6
FR,4.1,6.2,5.8,5.2,5.5,4.9,3.4,2.1,1.5,1.8,2.8,3.3,3.3,3.5,3.3,2.9,3.4,3.3,2.6,2.6,3.1,3.1,3.1,3.4,3.2
SO,4,5,3.8,4,5.9,5.7,3.1,2.2,1.5,2.1,3.1,4,3.7,3.5,2.8,2.5,3,4.3,3,2.5,3.1,2.8,2.6,3.2,3.2
BS,4.9,6.3,5.5,4.7,5.3,4.8,3.1,2.4,2.2,2.7,3.7,5,4.5,4.1,3.7,3.1,3.5,4.7,4.3,3.8,4.1,3.7,3.9,4,4.2
BL,2.9,3.9,3.4,3.2,3.9,3.6,2.1,1.6,1.3,1.8,2.6,3.5,3.6,3.1,2.6,2.4,2.7,3.7,3.2,2.9,2.9,2.8,2.8,3.1,3.1
SH,3.6,4.9,4.2,4.4,5.6,5.6,3.5,2.3,1.9,2.3,3.1,3.8,3.8,3.6,2.7,2.5,2.5,4,2.7,2.5,3,3.1,3.3,3.5,3.6
AR,2.4,3.1,2.1,2.1,2.7,2.4,1.2,1,1,1.3,2.2,2.4,2.3,2.4,1.9,1.5,1.9,2.3,1.9,1.5,1.8,1.8,2,2.1,2
AI,1.6,1.7,0.9,1.3,2,1.6,0.6,0.5,0.3,0.5,1.4,2,1.7,1.7,1.3,1.1,1.2,1.4,1,1.2,1.7,1.4,1.3,1.3,1.4
SG,2.9,3.7,3,3.1,4.5,3.6,2.6,1.8,1.3,1.9,2.8,3.4,3.2,3,2.4,1.9,2.6,3.6,2.7,2.4,2.8,2.6,2.4,2.8,2.7
GR,1.6,2.2,2.2,2.6,3.2,3.5,2.3,1.2,1.2,1.3,1.7,2.4,2.2,2.2,1.6,1.3,1.7,1.8,1.8,1.8,2,2,2,2.1,1.9
AG,2.8,3.7,3,3.4,4.9,3.8,2.7,1.7,1.3,1.7,3.2,3.8,3.6,3.4,2.7,2.5,2.9,3.6,3,2.9,3.1,3.1,3.1,3.4,3.5
TG,2.4,3.3,2.8,3.2,4.5,4.4,2.8,1.6,1.2,1.9,2.8,3.4,3.3,3.2,2.5,2.1,2.6,3.5,2.6,2.2,2.7,2.7,2.5,2.9,2.6
TI,6.2,7.8,7.4,8.5,9.2,8.9,6.4,4.7,3.5,3.8,4.7,5.2,5.5,5.9,5.5,4.9,5.1,5.4,5.4,4.9,5.2,4.9,4.6,4.2,4
VD,6,8.1,7.7,7.3,8.3,6.9,5.1,3.6,2.9,3.2,4.3,5.5,5.8,5.4,4.7,4.1,4.6,5.5,5.1,4.9,5.3,5.1,4.9,5.1,5.2
VS,6,8.3,8.3,7.7,8.9,7.5,5.6,3.9,3,3.4,4.2,4.8,5.3,5,4.5,4.2,4.8,5.1,4.5,4.5,5.3,5.2,5.4,5.5,5.2
NE,5.8,7,6.4,5.8,6.3,6.4,4.9,3.3,2.1,3.3,4.5,5,4.7,4.6,4,3.6,4.3,7.1,5.9,4.8,5.5,5.6,5.6,6.1,6.6
GE,6.2,8,7.8,6.9,7.8,7.4,5.6,4.6,3.9,4.7,6,7,7.5,7.3,6.9,5.9,6.2,6.9,6.5,5.2,5.5,5.7,5.5,5.8,5.7
JU,5,7.1,5.7,6.1,7.4,6.5,3.7,2.7,1.8,3.3,4.6,5.3,4.7,4.5,4.1,3.2,4,6,4.7,3.5,4,4.1,4.2,4.8,5.3
