info	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
T,TOTAL,PC_ACT,AT	4.2	4.7	4.7	4.7	4.2	3.9	4	4.4	4.8 i	5.5	5.6	5.3	4.9	4.1	5.3	4.8	4.6	4.9	5.4	5.6	5.7	6
T,TOTAL,PC_ACT,BE	9.7	9.5	9.2	9.3	8.4	6.9	6.6	7.5	8.2	8.4	8.5	8.3	7.5	7	7.9	8.3	7.2	7.6	8.4	8.5	8.5	7.8
T,TOTAL,PC_ACT,BG	: 	: 	: 	: 	: 	16.4	19.6	18.2	13.7	12.1	10.1	9	6.9	5.6	6.8	10.3 i	11.3	12.3	13	11.4	9.2	7.6
T,TOTAL,PC_ACT,CY	: 	: 	: 	: 	: 	4.8	3.9	3.5	4.1	4.6 i	5.3	4.6	3.9	3.7	5.4	6.3	7.9	11.9	15.9	16.1	15	13
T,TOTAL,PC_ACT,CZ	4	3.9	4.8	6.5	8.7	8.8	8.1	7.3	7.8	8.3	7.9	7.1	5.3	4.4	6.7	7.3	6.7	7	7	6.1	5.1	4
T,TOTAL,PC_ACT,DE	8.2	8.9	9.6	9.4	8.6	7.9	7.8	8.6	9.7	10.4	11.2 i	10.1	8.5	7.4	7.6	7	5.8	5.4	5.2	5	4.6	4.1
T,TOTAL,PC_ACT,DK	6.7	6.3	5.2	4.9	5.2	4.3	4.5	4.6	5.4	5.5	4.8	3.9	3.8	3.4	6	7.5	7.6	7.5	7	6.6	6.2	6.2
T,TOTAL,PC_ACT,EE	: 	: 	: 	: 	: 	14.6	13	11.2	10.3	10.1	8	4.9 i	4.6	5.5 i	13.5	16.7	12.3	10	8.6	7.4	6.2	6.8
T,TOTAL,PC_ACT,EL	: 	: 	: 	11.1	12	11.2	10.7	10.3	9.7 i	10.6	10	5.9 i	8.4	7.8	9.6	12.7	17.9	24.5	27.5	26.5	24.9	23.6
T,TOTAL,PC_ACT,ES	20.7 i	19.9	18.4	16.4	13.6	11.9	10.6	11.5	11.5	11	9.2	6.9 i	8.2	11.3	17.9	19.9	21.4	24.8	26.1	24.5	22.1	19.6
T,TOTAL,PC_ACT,FI	15.4	14.6	12.7	11.4	10.2	9.8	9.1	9.1	9	8.8	8.4	7.9 i	6.9	6.4	8.2	8.4	7.8	7.7	8.2	8.7	9.4	8.8
T,TOTAL,PC_ACT,FR	10.2 i	10.5	10.7	10.3	10	8.6	7.8	7.9	8.5	8.9	8.9	8.9 i	8	7.4	9.1	9.3	9.2	9.8	10.3	10.3	10.4	10.1
T,TOTAL,PC_ACT,HR	: 	: 	: 	: 	: 	15.6	16	15.3	14.1	13.8	13	9.9 i	9.9	8.6	9.3	11.8	13.7	15.8	17.4	17.2	16.1	13.4
T,TOTAL,PC_ACT,HU	: 	9.9	9.1	8.7	6.9	6.3	5.6	5.6	5.8	6.1	7.2	10.9 i	7.4	7.8 i	10	11.2	11	11	10.2	7.7	6.8	5.1
T,TOTAL,PC_ACT,IE	12.3	11.7	9.9	7.5	5.6	4.3	3.9	4.5	4.6	4.5	4.4	11.9 i	4.7	6.4	12	13.9	14.7	14.7	13.1	11.3	9.4	7.9
T,TOTAL,PC_ACT,IT	11.2	11.2	11.2	11.3	10.9	10	9	8.5	8.4	8	7.7	12.9 i	6.1	6.7	7.7	8.4	8.4	10.7	12.1	12.7	11.9	11.7
T,TOTAL,PC_ACT,LT	: 	: 	: 	13.2	14.6	16.4	17.4	13.8	12.4	10.9	8.3	13.9 i	4.3	5.8	13.8	17.8	15.4	13.4	11.8	10.7	9.1	7.9
T,TOTAL,PC_ACT,LU	2.9	2.9	2.7	2.7	2.4	2.2	1.9	2.6	3.8	5	4.6	14.9 i	4.2	4.9	5.1	4.6	4.8	5.1	5.9	6	6.5	6.3
T,TOTAL,PC_ACT,LV	: 	: 	: 	: 	14.1	14.3	13.5 i	12.5	11.6	11.7	10	15.9 i	6.1	7.7	17.5	19.5	16.2	15	11.9	10.8	9.9	9.6
T,TOTAL,PC_ACT,MT	: 	: 	: 	: 	: 	6.7	7.6	7	7.6	7.2	6.9	16.9 i	6.5	6	6.9	6.9	6.4	6.3	6.4	5.8	5.4	4.7
T,TOTAL,PC_ACT,NL	8.3	7.7	6.5	5.1	4.2	3.7	3.1	3.7 i	4.8	5.7	5.9	17.9 i	4.2	3.7	4.4	5	5	5.8	7.3	7.4	6.9	6
