track_id,artist_name,genres,lyrics,title
TRAAABD128F429CF47,The Box Tops,classic pop&rock,,Soul Deep
TRAAKNS12903CC5198,Robben Ford,jazz&blues,,I Got Over It (Album Version)
TRAAHZP12903CA25F4,Organized Konfusion,hip-hop,,Hate
TRAAPPQ128F14961F5,The B-52's,classic pop&rock,,Wig
TRAAJNM12903CF4750,James Hunter,jazz&blues,,Cowboy Ways
TRAAIDY128F92CA454,Hot Tuna,folk,,Candy Man
TRAAIGD12903CA2F3C,Rory Block,folk,,Three Is a Crowd
TRAAIAN12903CFF16D,Horace Andy,classic pop&rock,,Thank You Lord
TRAAIHL128F92E6DDA,Boyz II Men,soul&reggae,,On Bended Knee
TRAAMFG128F92FDEA2,Natalie Cole,jazz&blues,,Take A Look  (LP Version)
TRAAGJV128F1464090,Lesley Gore,classic pop&rock,,It's My Party
TRAAGNL128F4299BF1,Glen Campbell,classic pop&rock,,I'm Gone This Time
TRAAWUH128F427F12C,The Field Mice,classic pop&rock,,When Morning Comes To Town
TRAAUMN128F4273561,Soul Asylum,classic pop&rock,,Lies Of Hate
TRAAUSW128F426646E,Horace Andy,classic pop&rock,,Musical Episode
TRAAUGD128F42734DA,Tam Tam Go!,pop,,Spanish Shuffle (Album Version)
TRAABJV128F1460C49,Lionel Richie,soul&reggae,,Tonight Will Be Alright
TRAAZQW128F93430DC,Shawn Colvin,folk,,Another Long One
TRAAZGC12903CB5DFB,The Jeff Healey Band,classic pop&rock,,Hoochie Coochie Man
TRAAZIE128F427961E,Danny Wilson,classic pop&rock,,The Second Summer Of Love
TRAADOF12903CAA1C1,John Hammond,folk,,I Can't Be Satisfied
TRAADLX128F1469250,Loudon Wainwright III,folk,,Human Cannonball
TRAADNA128F9331246,Stevie Ray Vaughan,jazz&blues,,Crossfire
TRAADQX128F422B4CF,Casiotone For The Painfully Alone,dance&electronica,,Nashville Parthenon
TRAADHS12903CE70A9,Jacob Young,jazz&blues,,In A Subtle Way
TRAACPE128F421C1B9,Terry Callier,classic pop&rock,,Do You Finally Need A Friend
TRAYYGG128F1483C70,Shawn Colvin,folk,,These Four Walls
TRAYJOQ128F42AD10C,Dale Hawkins,classic pop&rock,,Wish I Hadn't Called Home
TRAYJLA128F4267A6A,The Chap,classic pop&rock,,They Have a Name
TRAYGYF128F930CA01,Solas,folk,,Clothes Of Sand
TRAYWVN128F42B972B,Terry Callier,classic pop&rock,,Holdin' On
TRAYTDZ128F93146E3,Stevie Ray Vaughan And Double Trouble,jazz&blues,,Mary Had A Little Lamb
TRAYEKM128F92FB049,Donna The Buffalo,folk,,Each & Every Direction
TRAYBNV128F92E272B,Jeff Beck,classic pop&rock,,Angel [Footsteps] (Album Version)
TRAYBNB12903CE2D9D,Cyril Pahinui,folk,,Mauna Loa (Vocal)
TRAYZLG128F92F3BCD,Mikey Dread,classic pop&rock,,Quest for Oneness
TRAYLOZ12903CF2EBA,Sharon Shannon_ Carol Keogh,folk,,Summer Sands (feat. Carol Keogh)
TRAYDJL128F145F261,Suzi Quatro,classic pop&rock,,Too Big
TRAYVNF128F42986EC,Dub Pistols feat. TK & JMS,dance&electronica,,Open (Koobas Koobatronmix)
TRAYVCS12903CE1ED8,Buju Banton,soul&reggae,,Excerpt Of A Speech By Marcus Mosiah Garvey
TRAKKTE128F934B0D9,THE CHIFFONS,classic pop&rock,,One Fine Day
TRAKKCL128F92FAE59,Livingston Taylor,folk,,Tell Jesus [To Come To My House]
TRAKKLW128F9317389,R. Carlos Nakai,folk,,In A Distant Place (World)
TRAKHFI128F1475133,Fontella Bass,classic pop&rock,,You've Lost That Lovin' Feelin'
TRAKPET128F92FD69F,Humble Pie,classic pop&rock,,Lonely No More
TRAKRXM128F4250E33,Bob Marley,soul&reggae,,Corner Stone
TRAKRQS128F4238518,Ayo,soul&reggae,,Welcome Into My World
TRAKRUY128F92FB943,R. Carlos Nakai,folk,,Canyon People (World)
TRAKGRM128F149DAFB,Robben Ford,jazz&blues,,The Champ
